sentence,label
"Sit down and be quiet",inappropriate
"Good job!",appropriate
"Stop crying!",inappropriate
"You are doing great",appropriate
"Shut up!",inappropriate
"Keep it up",appropriate
"Don't be silly",inappropriate
"Well done!",appropriate
"Stop that right now!",inappropriate
"Ugly",inappropriate
"Your drawing is ugly",inappropriate
"Excellent work",appropriate
"Why are you crying?",inappropriate
"Nice effort",appropriate
"You need to listen!",inappropriate
"Fantastic job",appropriate
"Quiet down!",inappropriate
"Great performance",appropriate
"Be quiet!",inappropriate
"Wonderful",appropriate
"Stop it!",inappropriate
"You are amazing",appropriate
"Do you want me to call your parents?",inappropriate
"You're so clever!",appropriate
"What's wrong?",inappropriate
"You're so talented",appropriate
"Just be quiet!",inappropriate
"You're doing great",appropriate
"Don't act like that",inappropriate
"You're very smart",appropriate
"How many times do I have to tell you?",inappropriate
"You're a star",appropriate
"Get it together!",inappropriate
"You did an awesome job",appropriate
"What's your problem?",inappropriate
"You're fantastic",appropriate
"Why can't you be like the others?",inappropriate
"You're wonderful",appropriate
"Stop being annoying",inappropriate
"You're a great kid",appropriate
"Do you ever listen?",inappropriate
"Keep up the good work",appropriate
"You're a troublemaker",inappropriate
"You're so kind",appropriate
"What's the matter?",inappropriate
"You did really well",appropriate
"Don't be a nuisance",inappropriate
"You're doing a fantastic job",appropriate
"Can't you do anything right?",inappropriate
"You're exceptional",appropriate
"Why are you so difficult?",inappropriate
"You're extraordinary",appropriate
"Are you listening?",inappropriate
"You're very bright",appropriate
"Don't make me repeat myself",inappropriate
"You're really gifted",appropriate
"Pay attention!",inappropriate
"You're a quick learner",appropriate
"Why are you always causing trouble?",inappropriate
"You're so polite",appropriate
"Is there something wrong?",inappropriate
"You're really impressive",appropriate
"Why are you misbehaving?",inappropriate
"You're very thoughtful",appropriate
"Listen carefully",inappropriate
"You're so considerate",appropriate
"Are you trying to be naughty?",inappropriate
"You're such a joy",appropriate
"Can't you ever behave?",inappropriate
"You're a delight",appropriate
"Why do you always have to be a problem?",inappropriate
"You're very respectful",appropriate
"What's wrong with your behavior?",inappropriate
"You're incredibly talented",appropriate
"Do you want to go to timeout?",inappropriate
"You're so friendly",appropriate
"Why do you always have to make things difficult?",inappropriate
"You're very cooperative",appropriate
"Is it so hard to follow instructions?",inappropriate
"You're so well-behaved",appropriate
"Why are you being disruptive?",inappropriate
"You're a great listener",appropriate
"What's the matter with you?",inappropriate
"You're so obedient",appropriate
"Why do you have to be such a pain?",inappropriate
"You're very diligent",appropriate
"Do you think this is a joke?",inappropriate
"You're so hardworking",appropriate
"Why are you being disrespectful?",inappropriate
"You're very committed",appropriate
"Are you paying attention?",inappropriate
"You're very reliable",appropriate
"Why can't you sit still?",inappropriate
"You're so trustworthy",appropriate
"Are you trying to get into trouble?",inappropriate
"You're very dependable",appropriate
"Do you want to be in trouble?",inappropriate
"You're very honest",appropriate
"Why do you always have to disobey?",inappropriate
"Sit here quietly",inappropriate
"You're so creative",appropriate
"Stop talking!",inappropriate
"You're so helpful",appropriate
"Why are you making noise?",inappropriate
"You're very gentle",appropriate
"Don't be loud",inappropriate
"You're very caring",appropriate
"Behave yourself!",inappropriate
"You're very loving",appropriate
"Stop being rude",inappropriate
"You're so fun",appropriate
"Listen up!",inappropriate
"You're so curious",appropriate
"Why are you so loud?",inappropriate
"You're so friendly",appropriate
"Don't interrupt!",inappropriate
"You're very joyful",appropriate
"Be still!",inappropriate
"You're so neat",appropriate
"Stop fidgeting!",inappropriate
"You're so nice",appropriate
"Why are you so restless?",inappropriate
"You're very patient",appropriate
"Do you ever sit still?",inappropriate
"You're so peaceful",appropriate
"Are you trying to annoy me?",inappropriate
"You're very playful",appropriate
"Don't move!",inappropriate
"You're very pleasant",appropriate
"Sit down!",inappropriate
"You're very positive",appropriate
"Don't make a sound",inappropriate
"You're so considerate",appropriate
"Why are you always talking?",inappropriate
"You're so enthusiastic",appropriate
"Stop shouting!",inappropriate
"You're very friendly",appropriate
"Why are you so fussy?",inappropriate
"You're so gentle",appropriate
"Be silent!",inappropriate
"You're so generous",appropriate
"Don't make any noise",inappropriate
"You're so helpful",appropriate
"Stop playing around!",inappropriate
"You're so honest",appropriate
"Why can't you listen?",inappropriate
"You're very loving",appropriate
"Don't make me tell you again",inappropriate
"You're very optimistic",appropriate
"You're very patient",appropriate
"Stop bothering everyone",inappropriate
"You're so polite",appropriate
"Sit down now",inappropriate
"You're very respectful",appropriate
"Don't talk back",inappropriate
"You're very sweet",appropriate
"Why can't you sit still?",inappropriate
"You're very thankful",appropriate
"Stop making noise",inappropriate
"You're so thoughtful",appropriate
"Do you ever listen?",inappropriate
"You're very truthful",appropriate
"Don't be disruptive",inappropriate
"You're very understanding",appropriate
"Stop being noisy",inappropriate
"You're very unique",appropriate
"Stop fooling around",inappropriate
"You're very wise",appropriate
"Don't act up",inappropriate
"You're very wonderful",appropriate
"Why can't you behave?",inappropriate
"You're very youthful",appropriate
"Stop running around",inappropriate
"You're very zealous",appropriate
"Stop making a scene",inappropriate
"You're very attentive",appropriate
"Stop talking loudly",inappropriate
"You're very bright",appropriate
"Sit down quietly",inappropriate
"You're very capable",appropriate
"Don't make a fuss",inappropriate
"You're very caring",appropriate
"Don't make me raise my voice",inappropriate
"You're very cheerful",appropriate
"Don't act silly",inappropriate
"You're very curious",appropriate
"Don't be a distraction",inappropriate
"You're very dependable",appropriate
"Don't make me repeat myself",inappropriate
"You're very diligent",appropriate
"Stop whining",inappropriate
"You're very determined",appropriate
"Don't make trouble",inappropriate
"You're very friendly",appropriate
"Stop causing problems",inappropriate
"You're very generous",appropriate
"Don't misbehave",inappropriate
"You're very gentle",appropriate
"Don't make noise",inappropriate
"You're very hardworking",appropriate
"Don't make me shout",inappropriate
"You're very helpful",appropriate
"Don't cause a scene",inappropriate
"You're very honest",appropriate
"Don't be disruptive",inappropriate
"You're very imaginative",appropriate
"Don't make a racket",inappropriate
"You're very joyful",appropriate
"Stop being loud",inappropriate
"You're very kind",appropriate
"Don't make me angry",inappropriate
"You're very loving",appropriate
"Don't make me punish you",inappropriate
"You're very loyal",appropriate
"Stop being a problem",inappropriate
"You're very mindful",appropriate
"Don't make a fuss",inappropriate
"You're very nice",appropriate
"Don't talk too much",inappropriate
"You're very observant",appropriate
"Stop causing trouble",inappropriate
"You're very organized",appropriate
"Don't make a mess",inappropriate
"You're very patient",appropriate
"Don't act out",inappropriate
"You're very peaceful",appropriate
"Don't make me raise my voice",inappropriate
"You're very polite",appropriate
"Don't be noisy",inappropriate
"You're very positive",appropriate
"Don't make trouble",inappropriate
"You're very proactive",appropriate
"Stop being disruptive",inappropriate
